"Nro"|"Titulo"|"Descripcion"|"Precio"|"Localidad"|"Ambientes"|"Superficie"|"Telefono"|"Link"
"120"|"Departamento en Venta | Capital Federal | Caballito | Caballito Sur | Av Alberdi al 1200"|"Caballito - 2 Amplios Amb - Av. Alberdi APROX 1200- Pleno Sol - Vista abierta"|" USD 95.000"|"Caballito Sur - Caballito"|"1"|"53 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7415784--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=6&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"121"|"Departamento en Venta | Capital Federal | Villa Urquiza | Parque Chass | Avalos  al 1300 | Piso 2"|"DUEñO VENDE DOS AMBIENTES HERMOSOS  TIPO PH !!"|" USD 89.800"|"Parque Chass - Villa Urquiza"|"1"|"42 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7464399--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=6&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"122"|"Departamento en Venta | Capital Federal | Centro | Microcentro | Gral Juan Jose Viamonte al 800"|"Monoambiente c/ Cochera pleno Micrcentro"|" USD 80.000"|"Microcentro - Centro"|"Monoambiente"|"25 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7439135--Departamento-de-1-Ambiente-en-Venta-en-Capital-Federal?sp.CurrentPage=7&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"123"|"Departamento en Venta | Buenos Aires | Pdo. de Moron | Castelar | Castelar Sur | ELFLEIN  al 2500 | Piso 01"|"DUEÑO 1 AMBIENTE NUEVO  AL FRENTE MUY LUMINOSO"|" USD 53.000"|"Castelar Sur - Castelar"|"No informa"|"27 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7437869--Departamento-en-Venta-en-Pdo.-de-Moron?sp.CurrentPage=7&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"124"|"Departamento en Venta | Capital Federal | Villa Crespo | Malabia al 100"|"Dpto 4 ambientes mas dependencia"|" USD 175.000"|"Villa Crespo - Capital Federal"|"4"|"No informa"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7436375--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=7&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"125"|"Departamento en Venta | Capital Federal | Belgrano | Virrey del Pino al 2200 | Piso 1"|"Departamento 3 ambientes Belgrano excelente estado. Virrey del Pino e V de Obligado y Arcos"|" USD 105.000"|"Belgrano - Capital Federal"|"2"|"51 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7463997--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=7&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"126"|"Departamento en Venta | Capital Federal | Villa del Parque | Barrio Santa Rita | F De Miranda al 3600"|"Vendo departamento en excelente estado"|" USD 142.000"|"Barrio Santa Rita - Villa del Parque"|"2"|"63 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7445997--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=7&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"127"|"Departamento en Venta | Capital Federal | Almagro | Almagro Sur | Dr M Moreno al 3400"|"Almagro Sur - Moreno 3400"|" USD 52.500"|"Almagro Sur - Almagro"|"1"|"26 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7451688--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=7&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"128"|"Departamento en Venta | Buenos Aires | Pdo. de Avellaneda | Wilde | Gral. Piran al 600 | Piso 9"|"Departamento en venta, 4 Ambientes - Wilde, Avellaneda"|" USD 85.000"|"Wilde - Buenos Aires"|"3"|"80 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7440217--Departamento-en-Venta-en-Pdo.-de-Avellaneda?sp.CurrentPage=7&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"129"|"Departamento en Venta | Capital Federal | Barrio Norte | Recoleta | Gral M De Azcuenaga al 1800 | Piso 2"|"VENTA INMUEBLE! RECICLADO! DUEÑO DIRECTO INMEJORABLE UBICACION"|" USD 81.000"|"Recoleta - Barrio Norte"|"Monoambiente"|"25 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7469848--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=7&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"130"|"Departamento en Venta | Capital Federal | Centro | Retiro | M.T.de Alvear al 700 | Piso 1"|"Dueño vende 1 amb , 1er piso , bño completo"|" USD 51.500"|"Retiro - Centro"|"Monoambiente"|"24 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7439211--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=7&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"131"|"Departamento en Venta | Capital Federal | Palermo | Palermo Soho | Rep De Nicaragua al 4700 | Piso PB"|"DUEÑO DIRECTO, Vende Excelente Dpto de 3 ambientes . En lo mejor de PALERMO SOHO."|" USD 110.000"|"Palermo Soho - Palermo"|"2"|"71 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7442498--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=7&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"132"|"Departamento en Venta | Capital Federal | Belgrano | Belgrano C | blanco encalada  al 2300 | Piso 8"|"MUY BUEN DEPARTAMENTO AL FRENTE - 3 AMBIENTES  - MUY LUMINOSO - DUEÑO DIRECTO"|" USD 132.000"|"Belgrano C - Belgrano"|"2"|"60 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7464741--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=7&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"133"|"Departamento en Venta | Capital Federal | Palermo | Av. Santa Fe  al 5000"|"Dto. Palermo 2 amb. Bajas expensas. Muy luminoso"|" USD 72.000"|"Palermo - Capital Federal"|"1"|"32 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7463929--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=7&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"134"|"Departamento en Venta | Capital Federal | Caballito | J Marmol al 100"|"3 AMBIENTES EN VENTA EN AV RIVADAVIA Y JOSE MARMOL"|" USD 80.000"|"Caballito - Capital Federal"|"2"|"40 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7465526--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=7&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"135"|"Departamento en Venta | Capital Federal | Almagro | Almagro Norte | Pje F Rauch al 3900"|"DUEÑO sin Comisión  Apto prof/OFICINA Financiación propia"|" USD 60.000"|"Almagro Norte - Almagro"|"Monoambiente"|"36 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/6589535--Departamento-de-1-Ambiente-en-Venta-en-Capital-Federal?sp.CurrentPage=7&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"136"|"Departamento en Venta | Capital Federal | Belgrano | Av Cramer al 300"|"Dueño vende dpto 2 amb.3°P/ASCENSOR luminoso excelente ubicacion .medios de transporte/oportunidad"|" USD 72.000"|"Belgrano - Capital Federal"|"1"|"36 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7441438--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=7&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"137"|"Departamento en Venta | Capital Federal | Villa Lugano | Sin Calle"|"Vendo depto. de 3 ambientes en excelente estado"|" USD 72.000"|"Villa Lugano - Capital Federal"|"2"|"60 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7457223--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=7&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"138"|"Departamento en Venta | Capital Federal | Belgrano | Quesada al 2700"|"Excelente"|" USD 105.000"|"Belgrano - Capital Federal"|"1"|"47 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7458206--Departamento-de-2-Ambientes-en-Venta-en-Capital-Federal?sp.CurrentPage=7&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"139"|"Departamento en Venta | Buenos Aires | Pdo. de Tres De Febrero | Caseros | Lisandro Medina al 2200 | Piso 7"|"DUEÑO Vende Monoambiente Nuevo - Zona Caseros"|" USD 52.000"|"Caseros - Buenos Aires"|"Monoambiente"|"30 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7455812--Departamento-en-Venta-en-Pdo.-de-Tres-De-Febrero?sp.CurrentPage=7&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"140"|"Departamento en Venta | Capital Federal | Caballito | Leopoldo Marechal  al 800 | Piso 2"|"Ecxelente depto en Caballito/Pque Centenario de 3 ambientes"|" USD 120.000"|"Caballito - Capital Federal"|"2"|"58 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7445552--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=7&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"141"|"Departamento en Venta | Capital Federal | Villa del Parque | Gral Jose G Artigas al 3000"|"Dpto. 4 Ambientes, 80 m2, sin comisión inmobiliaria"|" USD 125.000"|"Villa del Parque - Capital Federal"|"3"|"80 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7443882--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=7&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"142"|"Departamento en Venta | Capital Federal | Floresta | Gral Venancio Flores al 3700 | Piso 10"|"DUEÑO vende directo a pasos de estación Floresta"|" USD 86.000"|"Floresta - Capital Federal"|"2"|"51 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7440487--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=8&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"143"|"Departamento en Venta | Capital Federal | Versalles | Sin Calle"|"Irigoyen al 700"|" "|"Versalles - Capital Federal"|"Monoambiente"|"0 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7465131--Departamento-de-2-Ambientes-en-Venta-en-Capital-Federal?sp.CurrentPage=8&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"144"|"Departamento en Venta | Mendoza | Pdo. de San Rafael | San Rafael | Sin Calle"|"busco socio proyecto turistico inmobiliario"|" $ 350.000"|"San Rafael - Mendoza"|"No informa"|"No informa"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7458464--Departamento-en-Venta-en-Pdo.-de-San-Rafael?sp.CurrentPage=8&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"145"|"Departamento en Venta | Capital Federal | Barrio Norte | Recoleta | Av Gral Ortiz De Ocampo al 2500 | Piso 1"|"EXCELENTE  AMBIENTE UNICO EN RECOLETA"|" USD 75.000"|"Recoleta - Barrio Norte"|"Monoambiente"|"33 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7437811--Departamento-de-1-Ambiente-en-Venta-en-Capital-Federal?sp.CurrentPage=8&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"146"|"Departamento en Venta | Capital Federal | Flores | Pedernera al 400 | Piso 3"|"Dueño vendo. dto 2amb barrio de flores"|" USD 65.000"|"Flores - Capital Federal"|"1"|"35 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/6555822--Departamento-de-2-Ambientes-en-Venta-en-Capital-Federal?sp.CurrentPage=8&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"147"|"Departamento en Venta | Capital Federal | Palermo | Charcas al 5100 | Piso 3"|"A Estrenar, luminoso y amplio monoambiente, imperdible"|" "|"Palermo - Capital Federal"|"Monoambiente"|"37 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7458211--Departamento-de-1-Ambiente-en-Venta-en-Capital-Federal?sp.CurrentPage=8&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"148"|"Departamento en Venta | Capital Federal | Palermo | Palermo Soho | Jorge L Borges al 2200 | Piso 5º"|"Vendo  Depto. Excelente estado"|" USD 190.000"|"Palermo Soho - Palermo"|"4"|"80 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7457208--Departamento-de-5-Ambientes-en-Venta-en-Capital-Federal?sp.CurrentPage=8&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"149"|"Departamento en Venta | Capital Federal | Caballito | Sin Calle"|"PH C/BALCON TERRAZA C/CERRAMIENTO"|" "|"Caballito - Capital Federal"|"2"|"71 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7451136--Departamento-de-3-Ambientes-en-Venta-en-Capital-Federal?sp.CurrentPage=8&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"150"|"Departamento en Venta | Capital Federal | Caballito | Av B Rivadavia al 5100"|"Departamento muy luminoso dueño directo"|" USD 85.000"|"Caballito - Capital Federal"|"2"|"53 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7437528--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=8&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"151"|"Departamento en Venta | Capital Federal | Coghlan | J Melian"|"DUEÑO VENDE Excelente depto A estrenar NUEVO!!"|" "|"Coghlan - Capital Federal"|"Monoambiente"|"35 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7469843--Departamento-de-1-Ambiente-en-Venta-en-Capital-Federal?sp.CurrentPage=8&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"152"|"Departamento en Venta | Capital Federal | Belgrano | Ernesto A Bavio"|"DUEÑO VENDE SIN EXPENSAS PH  FRENTE Y CONTRAFRENTE"|" "|"Belgrano - Capital Federal"|"3"|"86 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7469841--Departamento-de-4-Ambientes-en-Venta-en-Capital-Federal?sp.CurrentPage=8&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
